        Time (s),  Speed (steps/s), Accel (steps/s^2),  Posit'n (steps), Step time (ticks)
           0.000,            6.395,            40.900,                1,          156.365
           0.133,            7.567,             8.865,                2,          132.155
           0.249,            8.687,             9.726,                3,          115.121
           0.352,            9.718,            10.029,                4,          102.897
           0.446,           10.669,            10.137,                5,           93.733
           0.533,           11.550,            10.175,                6,           86.583
           0.614,           12.373,            10.186,                7,           80.822
           0.691,           13.148,            10.185,                8,           76.060
           0.764,           13.881,            10.179,                9,           72.041
           0.833,           14.579,            10.172,               10,           68.594
           0.899,           15.245,            10.164,               11,           65.594
           0.962,           15.885,            10.156,               12,           62.954
           1.023,           16.500,            10.148,               13,           60.607
           1.082,           17.093,            10.141,               14,           58.504
           1.139,           17.667,            10.134,               15,           56.604
           1.194,           18.222,            10.128,               16,           54.878
           1.248,           18.762,            10.122,               17,           53.300
           1.300,           19.286,            10.117,               18,           51.850
           1.351,           19.797,            10.112,               19,           50.512
           1.402,           19.797,             0.000,               20,           50.512
           1.453,           19.797,             0.000,               21,           50.512
           1.504,           19.797,             0.000,               22,           50.512
           1.555,           19.797,             0.000,               23,           50.512
           1.606,           19.797,             0.000,               24,           50.512
           1.657,           19.797,             0.000,               25,           50.512
           1.708,           19.797,             0.000,               26,           50.512
           1.759,           19.797,             0.000,               27,           50.512
           1.810,           19.797,             0.000,               28,           50.512
           1.861,           19.797,             0.000,               29,           50.512
           1.912,           19.797,             0.000,               30,           50.512
           1.963,           19.797,             0.000,               31,           50.512
           2.015,           19.286,            -9.854,               32,           51.850
           2.069,           18.762,            -9.845,               33,           53.301
           2.124,           18.222,            -9.835,               34,           54.879
           2.181,           17.666,            -9.824,               35,           56.607
           2.240,           17.092,            -9.811,               36,           58.508
           2.301,           16.498,            -9.796,               37,           60.614
           2.364,           15.882,            -9.778,               38,           62.963
           2.430,           15.242,            -9.758,               39,           65.608
           2.499,           14.574,            -9.733,               40,           68.614
           2.572,           13.875,            -9.703,               41,           72.072
           2.649,           13.139,            -9.666,               42,           76.108
           2.730,           12.361,            -9.620,               43,           80.899
           2.817,           11.532,            -9.558,               44,           86.714
           2.911,           10.642,            -9.476,               45,           93.970
           3.015,            9.674,            -9.359,               46,          103.366
           3.132,            8.607,            -9.184,               47,          116.181
           3.268,            7.405,            -8.901,               48,          135.038
           3.425,            6.395,            -6.459,               49,          156.365
           3.582,            6.395,             0.000,               50,          156.365
